loglik,mean_loglik,N,M,n_iter,cputime,mean_itertime,method,init
-48085.43108024231,-8.424217077828015,88,5708,404,52.768527307,0.13061516660148514,fp,wishart
-50059.68135387201,-8.328012203272669,88,6011,465,55.65330741400002,0.11968453207311831,fp,wishart
-51436.42845748119,-8.091305404669056,88,6357,373,43.014995464,0.11532170365683647,fp,wishart
-49649.62107993189,-8.498736918851744,88,5842,474,50.34120682500001,0.10620507768987343,fp,wishart
-52474.377612410244,-8.171033574028378,88,6422,396,45.270286562999985,0.11431890546212117,fp,wishart
-55665.023578138906,-7.9227189835096645,88,7026,403,49.878964462,0.12376914258560794,fp,wishart
-52101.12284764275,-8.202317828659123,88,6352,396,45.284617501,0.11435509469949495,fp,wishart
-51191.98989713132,-8.21833197899042,88,6229,413,46.091732361000005,0.11160225753268767,fp,wishart
-53846.420600869955,-8.16844972707372,88,6592,380,44.49673222299999,0.1170966637447368,fp,wishart
-54823.795684754106,-8.20715504262786,88,6680,390,46.712056020999995,0.11977450261794871,fp,wishart
-56642.12635242184,-8.678125685984654,88,6527,409,47.599781788000016,0.1163808845672372,fp,wishart
-57776.57958252514,-8.487818360882201,88,6807,397,47.735539171,0.12024065282367757,fp,wishart
-58142.912645139084,-8.230876648519123,88,7064,382,47.66468783500001,0.12477666972513092,fp,wishart
-53358.01459214203,-8.404160433476457,88,6349,416,48.027226594,0.11545006392788461,fp,wishart
-55526.80963571169,-8.380140301194038,88,6626,425,50.14343538799999,0.11798455385411763,fp,wishart
-47845.94211557396,-7.921513595293702,88,6040,421,45.71007986000001,0.10857501154394301,fp,wishart
-57747.070513175844,-8.33531618261776,88,6928,351,44.739654039,0.12746340182051283,fp,wishart
-48044.96898962078,-8.282187379696738,88,5801,395,42.141003917000006,0.1066860858658228,fp,wishart
-57263.14847246892,-8.430970034226872,88,6792,415,51.32467697799999,0.12367392042891565,fp,wishart
-53714.61803516263,-8.435084490446393,88,6368,362,42.130173973000005,0.11638169605801106,fp,wishart
-46044.57573821813,-8.58399995119652,88,5364,430,42.418159274,0.09864688203255813,fp,wishart
-50221.683897894465,-8.200797501289102,88,6124,370,40.276947456,0.10885661474594595,fp,wishart
-53434.5168618312,-8.468227711859145,88,6310,418,46.809439315999995,0.11198430458373204,fp,wishart
-49739.52027131055,-8.303759644626135,88,5990,461,49.637410145999986,0.10767334088069411,fp,wishart
-51829.8863798145,-7.870901500351481,88,6585,388,45.539837707000004,0.11737071573969073,fp,wishart
