loglik,mean_loglik,N,M,n_iter,cputime,mean_itertime,method,category
-152760.725070693,-10.204457252551302,100,14970,111,29.265109265000003,0.263649633018018,fp,apparel
-152773.57240573232,-10.205315457964751,100,14970,109,25.837101664999985,0.2370376299541283,fp,apparel
-152725.09840071018,-10.202077381476967,100,14970,110,25.95083490399999,0.23591668094545445,fp,apparel
-152750.00711429873,-10.203741290200316,100,14970,111,26.247830916999995,0.23646694519819814,fp,apparel
-152735.55286161802,-10.202775742259053,100,14970,112,26.688018295999996,0.2382858776428571,fp,apparel
-152793.80206965978,-10.206666804920493,100,14970,110,25.991805235000008,0.23628913850000008,fp,apparel
-152800.11179464302,-10.207088296235339,100,14970,110,25.929973673,0.23572703339090909,fp,apparel
-152701.2809163099,-10.20048636715497,100,14970,111,26.21635166499998,0.23618334833333315,fp,apparel
-152781.11640588898,-10.20581939919098,100,14970,110,25.996337404000013,0.23633034003636375,fp,apparel
-152739.89020282513,-10.20306547781063,100,14970,110,26.22745538600001,0.2384314126000001,fp,apparel
-152721.32003114247,-10.20182498538026,100,14970,112,26.516342556000012,0.2367530585357144,fp,apparel
-152797.45942506928,-10.206911117239096,100,14970,110,26.029424928999997,0.23663113571818178,fp,apparel
-152761.1655622759,-10.204486677506742,100,14970,110,26.004761244000008,0.23640692040000008,fp,apparel
-152741.54213203047,-10.203175827122944,100,14970,111,26.36647690099999,0.23753582793693687,fp,apparel
-152710.7819849961,-10.201121041081905,100,14970,111,26.51432031499998,0.23886775058558543,fp,apparel
-152732.4872774263,-10.202570960415917,100,14970,110,26.056477161000004,0.23687706510000003,fp,apparel
-152733.13021255768,-10.202613908654488,100,14970,111,26.490014864,0.23864878255855854,fp,apparel
-152792.83016804716,-10.206601881633077,100,14970,109,25.802459087999996,0.23671980814678895,fp,apparel
-152776.80985231188,-10.205531720261314,100,14970,110,26.077911244,0.2370719204,fp,apparel
-152763.79528825605,-10.20466234390488,100,14970,110,26.039717179,0.23672470162727272,fp,apparel
-152720.71632557226,-10.201784657686858,100,14970,112,26.55360963799999,0.23708580033928564,fp,apparel
-152717.1845730974,-10.201548735677848,100,14970,111,26.633961949999996,0.2399456031531531,fp,apparel
-152720.21483891533,-10.201751158244177,100,14970,111,26.119519269,0.2353109844054054,fp,apparel
-152737.62003511842,-10.202913830001231,100,14970,111,26.417136042,0.23799221659459457,fp,apparel
-152762.16832582856,-10.204553662379997,100,14970,109,25.552621021,0.23442771578899083,fp,apparel
-152725.92196498354,-10.202132395790484,100,14970,111,26.07392574899999,0.23490023197297288,fp,apparel
-152755.77504617977,-10.204126589591167,100,14970,110,25.837771278000005,0.23488882980000006,fp,apparel
-152754.0797558731,-10.204013343745698,100,14970,109,25.635922802000014,0.23519195231192674,fp,apparel
-152741.50271506724,-10.203173194059268,100,14970,111,26.418354118,0.23800319025225225,fp,apparel
-152763.13781880113,-10.204618424769615,100,14970,111,26.119666476999992,0.23531231060360353,fp,apparel
-152531.41825099895,-10.189139495724712,100,14970,41,11.678065927999999,0.2848308762926829,grad,apparel
-156137.7201993555,-10.430041429482666,100,14970,27,6.885666316000001,0.2550246783703704,grad,apparel
-152423.46857956465,-10.181928428828634,100,14970,41,10.485913326000002,0.2557539835609757,grad,apparel
-155378.1698989531,-10.379303266463134,100,14970,22,5.511643070999999,0.2505292305,grad,apparel
-152488.60541756512,-10.186279587011699,100,14970,41,10.514647717,0.25645482236585365,grad,apparel
-152543.33997323702,-10.189935869955713,100,14970,41,10.510312304,0.2563490805853658,grad,apparel
-152545.20347403848,-10.19006035230718,100,14970,41,10.755426919,0.2623274858292683,grad,apparel
-152461.6114409645,-10.184476382161957,100,14970,41,10.45436742,0.25498457121951223,grad,apparel
-152508.42716194017,-10.187603684832343,100,14970,41,10.554793157999997,0.25743397946341456,grad,apparel
-155632.01305611426,-10.39626005718866,100,14970,22,5.561342384999999,0.25278829022727267,grad,apparel
-152496.04782717995,-10.18677674196259,100,14970,41,10.493935558000002,0.25594964775609763,grad,apparel
-155899.91897911674,-10.414156244429977,100,14970,22,5.786841945999999,0.26303827027272725,grad,apparel
-152548.62819459412,-10.190289124555385,100,14970,45,11.600342476000003,0.25778538835555564,grad,apparel
-156045.28882230056,-10.423866988797633,100,14970,23,5.808000287,0.2525217516086956,grad,apparel
-156023.9767905117,-10.422443339379539,100,14970,26,6.616501615,0.25448083134615385,grad,apparel
-152461.1234314082,-10.184443782993199,100,14970,40,10.340453386,0.25851133465,grad,apparel
-152514.34639726835,-10.187999091333891,100,14970,41,10.626119837000001,0.25917365456097563,grad,apparel
-155615.57334844756,-10.395161880323819,100,14970,23,5.824271587999999,0.25322919947826084,grad,apparel
-156179.93229476173,-10.432861208734918,100,14970,26,6.606775464000001,0.2541067486153846,grad,apparel
-155827.55709708293,-10.409322451374946,100,14970,22,5.577557761,0.25352535277272725,grad,apparel
-152483.94776713455,-10.185968454718408,100,14970,41,10.559917705999998,0.25755896843902437,grad,apparel
-155882.67099515395,-10.413004074492582,100,14970,23,5.876313346999999,0.2554918846521739,grad,apparel
-152495.05401737464,-10.186710355202047,100,14970,41,10.538278842999999,0.25703119129268287,grad,apparel
-155783.9502382876,-10.406409501555618,100,14970,22,5.426901568000001,0.24667734400000005,grad,apparel
-152536.64019960575,-10.189488323286957,100,14970,41,10.363209291000002,0.25276120221951226,grad,apparel
-155896.7193294004,-10.413942506973974,100,14970,27,6.711966596,0.2485913554074074,grad,apparel
-152484.3806291009,-10.18599737001342,100,14970,41,10.399965892999997,0.253657704707317,grad,apparel
-156030.56649394106,-10.422883533329397,100,14970,27,6.772194389999999,0.2508220144444444,grad,apparel
-156211.75303623156,-10.434986842767639,100,14970,24,6.005089731999999,0.25021207216666663,grad,apparel
-155867.2562981918,-10.411974368616686,100,14970,27,6.728407732000001,0.2492002863703704,grad,apparel
-152389.12351670355,-10.179634169452475,100,14970,21,5.073141111,0.24157814814285714,mm,apparel
-152324.12490545303,-10.175292244853242,100,14970,20,5.906806501000001,0.2953403250500001,mm,apparel
-152297.03200889917,-10.173482432124192,100,14970,21,5.038397730000002,0.2399237014285715,mm,apparel
-152428.76446018944,-10.182282195069435,100,14970,23,5.5562028770000005,0.2415740381304348,mm,apparel
-152311.53762306445,-10.174451411026348,100,14970,20,4.820134953000001,0.24100674765000005,mm,apparel
-152358.48221704905,-10.177587322448167,100,14970,22,5.307018298,0.24122810445454546,mm,apparel
-152382.01962777955,-10.179159627774185,100,14970,18,4.3155502299999995,0.23975279055555554,mm,apparel
-152325.82948164438,-10.175406110998289,100,14970,21,5.0595823719999995,0.24093249390476187,mm,apparel
