loglik,mean_loglik,N,M,n_iter,cputime,mean_itertime,method,vn,init,setting
-39054.35626823191,-15.621742507292764,32,2500,21,0.7634035210000001,0.036352548619047624,fp,42.146030479193406,wishart,1
-39065.58931675953,-15.626235726703811,32,2500,21,0.397684631,0.018937363380952383,fp,37.23637130772733,wishart,1
-39422.75403880296,-15.769101615521183,32,2500,22,0.68165433,0.030984287727272727,fp,37.60316088100986,wishart,1
-39306.7210598042,-15.72268842392168,32,2500,23,0.7266973680000002,0.031595537739130444,fp,39.70136087980257,wishart,1
-39220.23282462762,-15.68809312985105,32,2500,24,0.7621874350000001,0.03175780979166667,fp,37.126216253541344,wishart,1
-39254.418638366835,-15.701767455346735,32,2500,16,0.359289375,0.0224555859375,grad,59.112756554588316,wishart,1
-39346.44830264927,-15.738579321059706,32,2500,22,0.4453158559999999,0.020241629818181815,grad,49.06799390074491,wishart,1
-39766.18072126878,-15.906472288507512,32,2500,22,0.46868174800000006,0.021303715818181822,grad,52.37199236924071,wishart,1
-39479.07276767028,-15.791629107068113,32,2500,15,0.335171606,0.022344773733333333,grad,52.720389528231905,wishart,1
-39398.95248280758,-15.759580993123032,32,2500,15,0.333195641,0.022213042733333334,grad,50.36925805550992,wishart,1
-39060.710585203546,-15.624284234081419,32,2500,20,1.0085992830000001,0.050429964150000006,mm,48.96217563661733,wishart,1
-39054.973507548086,-15.621989403019235,32,2500,18,0.545637436,0.03031319088888889,mm,42.922306337947276,wishart,1
-39412.18219574865,-15.764872878299462,32,2500,21,0.6837755780000001,0.03256074180952381,mm,44.22081843448805,wishart,1
-39299.092891520166,-15.719637156608066,32,2500,20,0.648489645,0.03242448225,mm,44.72025969065507,wishart,1
-39218.36959883555,-15.687347839534219,32,2500,22,0.7030558740000001,0.03195708518181819,mm,42.254420021824906,wishart,1
-39519.142569600444,-15.807657027840177,32,2500,104,3.286796358,0.031603811134615384,fp,52.93232103622782,basic,1
-38283.26695815076,-15.313306783260304,32,2500,93,2.787028171,0.029968044849462368,fp,42.154767420920436,basic,1
-39384.44721177962,-15.753778884711847,32,2500,96,2.973484775,0.030973799739583335,fp,43.68480279101843,basic,1
-39111.326679688376,-15.644530671875351,32,2500,76,2.3364117639999993,0.03074226005263157,fp,37.24498392000461,basic,1
-39217.00991752182,-15.686803967008728,32,2500,108,3.073458850999999,0.028457952324074064,fp,45.245298171662775,basic,1
-39025.147857873766,-15.610059143149506,32,2500,79,1.6137643320000006,0.020427396607594944,grad,59.443838507350385,basic,1
-37908.288529888676,-15.16331541195547,32,2500,78,1.6704859000000003,0.021416485897435902,grad,56.14620266324421,basic,1
-38984.67290763353,-15.593869163053412,32,2500,85,1.729491295,0.02034695641176471,grad,55.18875759114693,basic,1
-38735.68409393914,-15.494273637575656,32,2500,83,1.8279234160000002,0.02202317368674699,grad,53.21975908490966,basic,1
-38877.60085974346,-15.551040343897386,32,2500,84,1.8501615709999997,0.022025732988095233,grad,55.81622263278438,basic,1
-39044.26749563292,-15.617706998253169,32,2500,16,0.505091233,0.0315682020625,mm,33.17164482299036,basic,1
-37903.867454190564,-15.161546981676226,32,2500,17,0.512534217,0.030149071588235293,mm,29.436085156401287,basic,1
-38994.619166701916,-15.597847666680765,32,2500,17,0.5435003549999999,0.031970609117647056,mm,29.819245100650313,basic,1
-38742.42438607162,-15.49696975442865,32,2500,15,0.40953828200000003,0.027302552133333335,mm,28.79471746815189,basic,1
-38883.903391962434,-15.553561356784973,32,2500,15,0.451418394,0.0300945596,mm,30.076824409099675,basic,1
-155922.09111695192,-15.592209111695192,32,10000,22,2.534983114000001,0.11522650518181822,fp,40.70670717628592,wishart,2
-155093.86433421198,-15.509386433421197,32,10000,21,1.8570963280000001,0.08843315847619049,fp,40.81434009818214,wishart,2
-155121.79686220747,-15.512179686220747,32,10000,22,1.7957918419999999,0.0816269019090909,fp,35.78285354000516,wishart,2
-155588.2443850328,-15.55882443850328,32,10000,21,1.405870501,0.06694621433333334,fp,41.024898282254,wishart,2
-154887.78361618402,-15.488778361618403,32,10000,20,1.574897838,0.0787448919,fp,35.339103716880494,wishart,2
-156768.70316059238,-15.676870316059238,32,10000,16,1.3413376090000002,0.08383360056250001,grad,54.982824671874354,wishart,2
-155810.2426134798,-15.581024261347979,32,10000,15,1.2479109030000002,0.08319406020000002,grad,57.5058271586323,wishart,2
-156553.32868771753,-15.655332868771753,32,10000,22,1.8846972599999998,0.08566805727272726,grad,47.790735212022724,wishart,2
-156970.52250020526,-15.697052250020526,32,10000,23,2.0448921110000002,0.08890835265217392,grad,54.502593882257116,wishart,2
-155671.25623923627,-15.567125623923628,32,10000,15,1.2743092069999997,0.08495394713333332,grad,49.14756421414667,wishart,2
-156001.89894607165,-15.600189894607166,32,10000,17,1.499904388,0.08822966988235294,mm,46.13054744030356,wishart,2
-155118.38604232232,-15.511838604232233,32,10000,17,1.5478077050000003,0.09104751205882355,mm,47.201607784541274,wishart,2
-155198.6965135274,-15.519869651352739,32,10000,17,1.137318619,0.06690109523529411,mm,41.6262679385125,wishart,2
-155636.46563866286,-15.563646563866286,32,10000,17,1.5423482799999997,0.09072636941176469,mm,48.17356751051878,wishart,2
-154948.84422222647,-15.494884422222647,32,10000,15,1.094193111,0.0729462074,mm,40.71267964136521,wishart,2
-157398.38041431512,-15.739838041431511,32,10000,70,6.078170665999999,0.0868310095142857,fp,40.2478736540075,basic,2
-155443.61614317264,-15.544361614317264,32,10000,89,8.146171167,0.09153001311235956,fp,42.80147705169032,basic,2
-155741.64078150684,-15.574164078150684,32,10000,66,5.693336398,0.08626267269696969,fp,40.72112391865976,basic,2
-158905.2094144783,-15.89052094144783,32,10000,91,7.807129445999998,0.08579263127472525,fp,45.07105337201895,basic,2
-156806.67563582363,-15.680667563582363,32,10000,80,6.974403121999999,0.08718003902499999,fp,38.384943740856365,basic,2
