loglik,mean_loglik,N,M,n_iter,cputime,mean_itertime,method,vn,init,setting
-75157.00658937098,-30.062802635748394,128,2500,31,6.1491640620000005,0.19836013103225808,grad,44.554494120579434,wishart,3
-75928.0000621805,-30.3712000248722,128,2500,13,3.274311482,0.251870114,mm,44.75233095685943,wishart,3
-74469.1553643751,-29.787662145750037,128,2500,13,3.30356741,0.25412057,mm,44.67911702417928,wishart,3
-76196.74111568704,-30.478696446274814,128,2500,13,3.343628537,0.2572021951538461,mm,45.16954045730775,wishart,3
-75451.15163928397,-30.18046065571359,128,2500,13,5.691753553000001,0.4378271963846154,mm,44.64923261308811,wishart,3
-75139.27462326421,-30.055709849305682,128,2500,13,3.2486952860000002,0.2498996373846154,mm,43.92286341286304,wishart,3
-76526.57217102093,-30.610628868408373,128,2500,80,17.286151655000005,0.21607689568750005,fp,53.67248005392288,basic,3
-75711.1501629336,-30.284460065173437,128,2500,81,16.17722506999999,0.19971882802469126,fp,55.15472419352317,basic,3
-76272.60640086935,-30.50904256034774,128,2500,74,12.398941056999996,0.167553257527027,fp,55.74632861492668,basic,3
-74920.38856400619,-29.968155425602475,128,2500,75,13.763054161,0.18350738881333334,fp,53.51641028930155,basic,3
-75701.40159106848,-30.280560636427392,128,2500,75,13.638651271999999,0.18184868362666665,fp,54.93961587726419,basic,3
-76005.55156235072,-30.402220624940288,128,2500,42,9.439147802000003,0.2247416143333334,grad,64.4880396100016,basic,3
-74757.35767138751,-29.902943068555004,128,2500,76,16.079452515,0.21157174361842104,grad,59.6511789688744,basic,3
-75729.02238423817,-30.291608953695267,128,2500,41,9.035989855999999,0.22038999648780486,grad,63.9240873897566,basic,3
-74465.31872626081,-29.786127490504324,128,2500,38,7.589346497999999,0.19971964468421052,grad,59.99226460603549,basic,3
-75250.45254860685,-30.100181019442736,128,2500,41,8.838215771,0.21556623831707317,grad,61.78423176581249,basic,3
-75911.23969488613,-30.36449587795445,128,2500,12,3.362058495,0.28017154125,mm,32.33016858828251,basic,3
-75089.67221106851,-30.0358688844274,128,2500,12,3.1455655129999998,0.26213045941666663,mm,32.453374993661896,basic,3
-75563.34456245712,-30.225337824982848,128,2500,12,2.734809378,0.2279007815,mm,32.49164508807635,basic,3
-74323.93640282727,-29.729574561130907,128,2500,12,2.890731647,0.24089430391666666,mm,31.641699792634043,basic,3
-75137.97476894922,-30.05518990757969,128,2500,12,3.355091452,0.2795909543333333,mm,32.679040825785734,basic,3
